Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	Eosin: Mean	Eosin: Median	Eosin: Min	Eosin: Max	Eosin: Std.Dev.
kwa-4 肺_Default_Extended.tif	3fdde37e-634b-4ef5-9721-332c2ea75663	Detection			Annotation	Polygon	261.7	648.82	15.5	18	0.6012	0.9254	5.7009	3.8891	0.423	0.4043	0.2009	0.8276	0.1298	0.2734	0.2559	0.1333	0.7611	0.1108
kwa-4 肺_Default_Extended.tif	de2283de-849b-4de9-8610-601cb42ff1c7	Detection			Annotation	Polygon	426.6	650.77	63.25	35	0.6488	0.9529	10.0407	8.5	0.5724	0.5422	0.2594	0.9581	0.1522	0.4769	0.3585	0.1585	1.5848	0.3247
kwa-4 肺_Default_Extended.tif	fc2746c8-a3fd-4bfb-9090-27c1541e68d3	Detection			Annotation	Polygon	269.44	651.62	39	28	0.6251	0.9369	8.3815	6	0.2959	0.2755	0.1274	0.6162	0.0868	0.1146	0.1096	0.0691	0.2267	0.0297
kwa-4 肺_Default_Extended.tif	55a0b32e-709a-4582-89e0-f5dd5492d921	Detection			Annotation	Polygon	254	652.78	58.5	35	0.6001	0.9512	11.4127	7.379	0.5402	0.5115	0.2422	1.0168	0.1588	0.3314	0.2068	0.0627	1.518	0.3043
kwa-4 肺_Default_Extended.tif	b5a2e1f7-56ba-4274-9e89-01e986925066	Detection			Annotation	Polygon	378.41	653.66	71.25	39	0.5887	0.9375	10.5958	8.8632	0.655	0.6551	0.2124	1.1068	0.2172	0.8617	0.7912	0.1474	1.7087	0.4473
kwa-4 肺_Default_Extended.tif	5f8a6f8c-18c7-492f-8183-716041603145	Detection			Annotation	Polygon	282.83	655.23	54.5	33	0.6289	0.9397	9.8803	7.5	0.6809	0.6784	0.2654	1.2114	0.1852	0.4504	0.2938	0.0167	1.4639	0.4026
kwa-4 肺_Default_Extended.tif	e21192b5-16bb-4026-b0cd-4d392d320175	Detection			Annotation	Polygon	345.89	656.37	72	40	0.5655	0.9305	11.6641	8.8388	0.4078	0.4231	0.0603	0.8081	0.1566	0.3824	0.2748	0.1224	1.6071	0.3033
kwa-4 肺_Default_Extended.tif	a1601378-24fa-43d9-893a-4f1562ca4414	Detection			Annotation	Polygon	336.19	656.89	38.25	29	0.5715	0.9	8.2006	6.8599	0.4897	0.4839	0.2198	0.9077	0.1262	0.1974	0.1445	0.0568	1.3761	0.1758
kwa-4 肺_Default_Extended.tif	8c6ed0c0-b9a5-4db2-979a-04b7f06bbfc2	Detection			Annotation	Polygon	295.01	657.67	45.5	31	0.595	0.9406	10.5475	6.5	0.3585	0.3459	0.1404	0.6757	0.1131	0.0414	0.0428	-0.0777	0.1676	0.0551
kwa-4 肺_Default_Extended.tif	9c9a2c30-92bf-4d61-b910-1c12e29bd882	Detection			Annotation	Polygon	362.37	657.26	83.25	42	0.5931	0.9447	13.6015	7.8912	0.564	0.5468	0.2217	0.91	0.1287	0.5248	0.3843	0.1541	1.6253	0.3438
kwa-4 肺_Default_Extended.tif	18ec190c-0724-440a-a9a9-ddd5a0680f85	Detection			Annotation	Polygon	238.46	657.69	28.25	24	0.6163	0.9224	7.1063	5.5	0.5348	0.5175	0.2803	0.8757	0.1226	0.3276	0.2619	0.1298	1.4241	0.2122
kwa-4 肺_Default_Extended.tif	32a364e5-4b63-4196-a3d1-7dda23d65cbd	Detection			Annotation	Polygon	250.9	660.46	31	31	0.4054	0.8611	10.9202	4.2165	0.5566	0.5432	0.2348	1.0538	0.1511	0.3406	0.2593	-0.0577	1.5219	0.3155
kwa-4 肺_Default_Extended.tif	850aefc6-08ac-4683-ad68-d50fa59cf5b6	Detection			Annotation	Polygon	429.06	660.56	20.25	20	0.6362	0.9257	5.831	5	0.7105	0.6689	0.1731	1.2347	0.2786	0.85	0.8639	0.0664	1.5791	0.5018
kwa-4 肺_Default_Extended.tif	1c083557-92b6-4479-8e59-72c8771a268d	Detection			Annotation	Polygon	331.39	661.09	32	29	0.4781	0.9078	9.6177	4.6957	0.4249	0.3746	0.2031	0.8885	0.145	0.189	0.1335	0.0293	1.3559	0.1753
kwa-4 肺_Default_Extended.tif	6dcd5160-7a13-4816-9657-b8a10dc76775	Detection			Annotation	Polygon	306.21	665.16	62	48	0.3382	0.8039	15.6205	6.364	0.5622	0.5111	0.2088	1.2114	0.1892	0.3892	0.2404	0.0366	1.5097	0.3572
kwa-4 肺_Default_Extended.tif	54fb2f6c-83d4-4687-a104-e6cf74274312	Detection			Annotation	Polygon	265.04	663.85	74.5	40	0.5851	0.9371	11.7154	9.1924	0.4946	0.4819	0.2607	0.8397	0.0974	0.2042	0.1799	0.0061	1.417	0.1505
kwa-4 肺_Default_Extended.tif	f2dc8860-16de-490a-a4e9-96137899b35d	Detection			Annotation	Polygon	319.48	666.01	45	33	0.5193	0.9091	10.7371	6	0.4991	0.457	0.2569	0.865	0.1508	0.3689	0.1546	0.0382	1.5477	0.429
kwa-4 肺_Default_Extended.tif	5e8de047-a070-4089-8692-60821165cdd2	Detection			Annotation	Polygon	411.21	666.31	54.25	33	0.626	0.9476	9.3941	8	0.6757	0.683	0.2343	1.2963	0.1821	0.4824	0.2594	-0.038	1.5371	0.4844
kwa-4 肺_Default_Extended.tif	7eb9e04d-a371-4482-bfd8-58e193f04c6f	Detection			Annotation	Polygon	245.8	667.81	38.5	28	0.6171	0.939	8.7464	6.5	0.461	0.4159	0.2486	0.947	0.1559	0.2795	0.1955	0.0628	1.3815	0.2505
kwa-4 肺_Default_Extended.tif	6c32f3c2-2292-40e4-83b1-5ec02a19cc9f	Detection			Annotation	Polygon	427.19	667.18	20.5	20	0.644	0.9318	6.265	4.5	0.6901	0.6912	0.3651	1.1296	0.1779	0.2057	0.0804	-0.318	1.4083	0.43
kwa-4 肺_Default_Extended.tif	c3e0537c-10c1-4d1f-bf5d-5cf991bbfe77	Detection			Annotation	Polygon	441.14	666.86	50.75	32	0.6228	0.9398	9.1816	7.5	0.3533	0.3717	0.0899	0.6918	0.1392	0.4778	0.3496	0.1273	1.876	0.3368
kwa-4 肺_Default_Extended.tif	a7c09d57-38a8-49aa-9eb8-3ec035e181a5	Detection			Annotation	Polygon	254.89	667.72	51.75	35	0.5309	0.9	10.7727	6.5543	0.4642	0.4487	0.2658	0.7774	0.1037	0.2042	0.1848	-0.0013	1.0185	0.1391
kwa-4 肺_Default_Extended.tif	f3f2eff7-74c9-4708-a967-41ad79f6a77d	Detection			Annotation	Polygon	361.42	667.54	42.25	29	0.6313	0.9363	9.1933	6	0.3398	0.3212	0.155	0.6588	0.0964	0.209	0.1653	0.1046	1.1911	0.1642
kwa-4 肺_Default_Extended.tif	2ae2eab0-7e27-4bd7-bc2e-fcac93d16769	Detection			Annotation	Polygon	349.71	668.97	75	39	0.6196	0.9479	11.7047	8.5	0.5535	0.5296	0.2318	0.9724	0.1446	0.4154	0.2881	0.1111	1.4823	0.3295
kwa-4 肺_Default_Extended.tif	00cdfe2f-d11b-4fb1-9702-380786f48640	Detection			Annotation	Polygon	242.13	672.09	51.5	37	0.4727	0.9015	11.1018	6.0741	0.6295	0.6397	0.2411	1.229	0.2226	0.4783	0.3218	-0.0257	1.4491	0.3771
kwa-4 肺_Default_Extended.tif	31c9c835-3063-4c7b-8d05-1b04058d674d	Detection			Annotation	Polygon	312.07	673.48	115.5	52	0.5368	0.9305	15.7877	10.0652	0.5334	0.4923	0.222	1.0971	0.1796	0.4328	0.3067	0.0913	1.5603	0.3363
